datetime,Close,Open,High,Low,Volume,Change
2022/5/9,4.5,4.5,4.57,4.45,85.47M,-1.10%
2022/5/6,4.55,4.6,4.62,4.51,104.24M,-4.01%
2022/5/5,4.74,4.71,4.79,4.65,106.09M,1.28%
2022/4/29,4.68,4.52,4.72,4.49,137.13M,4.93%
2022/4/28,4.46,4.52,4.54,4.41,120.07M,-1.33%
2022/4/27,4.52,4.19,4.55,4.18,153.03M,5.85%
2022/4/26,4.27,4.61,4.64,4.23,196.28M,-7.38%
2022/4/25,4.61,4.83,4.83,4.6,134.17M,-6.87%
2022/4/22,4.95,4.87,4.98,4.78,91.43M,0.61%
2022/4/21,4.92,5.17,5.18,4.88,157.54M,-5.02%
2022/4/20,5.18,5.36,5.37,5.16,111.39M,-3.72%
2022/4/19,5.38,5.4,5.44,5.35,87.77M,0.37%
2022/4/18,5.36,5.49,5.49,5.32,91.36M,-2.90%
2022/4/15,5.52,5.48,5.64,5.44,178.75M,0.36%
2022/4/14,5.5,5.46,5.56,5.4,127.81M,0.92%
2022/4/13,5.45,5.18,5.58,5.17,243.62M,4.61%
2022/4/12,5.21,5.13,5.21,5.01,94.20M,1.56%
2022/4/11,5.13,5.41,5.44,5.11,140.89M,-5.18%
2022/4/8,5.41,5.25,5.49,5.23,157.70M,2.85%
2022/4/7,5.26,5.32,5.33,5.25,63.76M,-1.50%
2022/4/6,5.34,5.27,5.35,5.2,88.89M,1.14%
2022/4/1,5.28,5.2,5.31,5.13,79.62M,1.34%
2022/3/31,5.21,5.31,5.32,5.18,98.49M,-1.70%
2022/3/30,5.3,5.36,5.36,5.23,88.06M,-0.56%
2022/3/29,5.33,5.3,5.39,5.27,75.74M,0.00%
2022/3/28,5.33,5.38,5.41,5.24,108.52M,-2.56%
2022/3/25,5.47,5.43,5.6,5.4,178.55M,0.55%
2022/3/24,5.44,5.31,5.5,5.29,180.46M,2.45%
2022/3/23,5.31,5.28,5.33,5.25,135.31M,1.34%
2022/3/22,5.24,5.25,5.29,5.16,120.38M,0.38%
2022/3/21,5.22,5.22,5.31,5.16,147.70M,0.97%
2022/3/18,5.17,5.1,5.2,5.06,154.56M,1.57%
2022/3/17,5.09,5.01,5.15,4.97,186.85M,3.25%
2022/3/16,4.93,4.8,4.96,4.65,217.49M,6.71%
2022/3/15,4.62,5,5.01,4.6,252.53M,-8.51%
2022/3/14,5.05,5.12,5.17,5.04,116.70M,-3.07%
2022/3/11,5.21,5.18,5.22,5.06,161.42M,-1.33%
2022/3/10,5.28,5.35,5.39,5.2,175.98M,0.57%
2022/3/9,5.25,5.4,5.4,5.01,240.81M,-3.85%
2022/3/8,5.46,5.77,5.87,5.34,270.20M,-4.71%
2022/3/7,5.73,5.86,5.95,5.68,218.74M,-0.87%
2022/3/4,5.78,5.99,6,5.76,245.04M,-3.99%
